word,Control,Dolphin,Eagle,Owl,Unicorn,Maple,Oak,Willow,Yggdrasil,total
spider,29,27,35,46,26,38,35,37,41,314
bird,26,24,31,35,24,26,33,29,34,262
bee,10,19,9,8,20,16,8,13,14,117
octopus,13,15,19,10,11,10,11,7,6,102
butterfly,12,7,9,8,9,5,10,8,8,76
frog,11,9,9,8,6,6,4,9,4,66
crab,12,6,10,4,9,4,4,9,5,63
tree,8,5,5,6,3,13,10,10,1,61
elephant,8,7,3,6,6,2,6,4,5,47
camel,4,2,3,5,7,5,6,6,7,45
owl,2,6,4,6,5,5,3,8,5,44
snake,6,8,4,2,7,6,1,2,3,39
cat,3,5,5,2,4,3,5,2,5,34
fish,4,6,1,1,5,3,4,4,5,33
ant,4,4,1,2,6,6,3,3,3,32
eagle,3,2,3,4,4,2,3,2,2,25
insect,3,2,0,1,1,3,4,4,7,25
lizard,6,1,1,1,3,5,4,1,3,25
whale,3,2,1,4,4,1,2,3,2,22
spine,1,3,1,1,3,3,5,0,4,21
hummingbird,1,3,3,1,2,4,4,0,1,19
horse,3,4,1,4,1,1,2,1,0,17
dog,1,1,3,1,3,1,1,2,1,14
caterpillar,1,1,1,2,3,0,1,3,1,13
dolphin,2,1,2,2,1,1,3,1,0,13
turtle,2,2,1,0,0,2,1,1,1,10
dragon,0,1,2,0,1,0,1,1,2,8
fibonacci,0,1,1,1,0,1,1,3,0,8
chicken,0,0,0,0,1,0,1,1,4,7
bacteria,0,1,0,1,2,0,0,2,0,6
bear,0,0,1,2,0,1,0,1,1,6
moth,1,2,0,1,1,1,0,0,0,6
seahorse,0,1,1,0,1,1,2,0,0,6
dinosaur,0,0,2,1,0,2,0,0,0,5
prime,0,1,0,0,0,2,0,1,1,5
shark,0,0,0,0,2,0,1,2,0,5
bat,0,0,0,1,1,0,0,1,1,4
beetle,1,1,0,1,0,1,0,0,0,4
chameleon,0,0,1,1,0,0,1,1,0,4
dragonfly,0,0,0,0,0,1,2,0,1,4
monkey,0,1,1,1,1,0,0,0,0,4
reptile,0,1,0,0,0,0,0,1,2,4
worm,0,0,1,0,0,0,1,1,1,4
brain,0,2,0,0,0,0,0,0,1,3
bug,2,0,0,0,0,1,0,0,0,3
cats,1,0,1,0,0,0,0,0,1,3
mushroom,0,1,1,0,0,0,1,0,0,3
ocelot,0,2,0,1,0,0,0,0,0,3
penguin,1,0,1,0,1,0,0,0,0,3
pigeon,0,1,0,1,0,0,0,1,0,3
primate,0,0,1,0,0,0,0,2,0,3
serpent,0,0,1,0,0,0,1,0,1,3
spiders,1,1,0,0,1,0,0,0,0,3
zebra,0,1,0,0,1,1,0,0,0,3
amphibian,0,0,0,0,0,0,0,1,1,2
antelope,0,0,0,0,0,0,1,0,1,2
baby,0,1,0,0,1,0,0,0,0,2
bees,1,0,0,0,0,0,0,0,1,2
chickens,0,0,0,1,0,0,0,0,1,2
chimpanzee,0,0,0,1,0,0,1,0,0,2
cobra,0,0,1,0,0,0,0,0,1,2
cricket,0,1,1,0,0,0,0,0,0,2
dna,0,0,0,0,0,1,0,0,1,2
flower,0,0,1,0,1,0,0,0,0,2
fox,1,0,0,1,0,0,0,0,0,2
inchworm,0,0,1,0,0,1,0,0,0,2
ladder,0,0,0,0,0,1,0,1,0,2
lobster,0,0,1,0,1,0,0,0,0,2
peacock,1,0,1,0,0,0,0,0,0,2
pumpkin,0,0,0,0,1,0,0,0,1,2
reindeer,0,0,0,1,1,0,0,0,0,2
seagull,1,0,0,0,0,0,0,0,1,2
shell,1,0,0,0,0,0,1,0,0,2
abraham,0,0,0,0,0,0,1,0,0,1
adenine,0,0,0,1,0,0,0,0,0,1
alien,0,1,0,0,0,0,0,0,0,1
animal,0,0,0,0,1,0,0,0,0,1
animals,0,0,0,0,0,0,0,0,1,1
antenna,0,0,0,0,0,0,1,0,0,1
antwl,0,0,0,1,0,0,0,0,0,1
apes,0,0,0,0,0,1,0,0,0,1
apple,0,0,0,0,0,0,0,1,0,1
apples,0,0,0,0,0,0,1,0,0,1
aquarium,0,0,1,0,0,0,0,0,0,1
arachnid,0,1,0,0,0,0,0,0,0,1
arctic,0,0,1,0,0,0,0,0,0,1
arrow,0,0,0,0,0,0,1,0,0,1
artery,0,0,0,0,0,0,0,1,0,1
bacterium,0,0,0,0,0,1,0,0,0,1
bald eagle,0,0,0,1,0,0,0,0,0,1
barbecue,0,0,0,0,0,1,0,0,0,1
barnacle,0,0,0,1,0,0,0,0,0,1
bats,0,0,0,0,1,0,0,0,0,1
beagle,0,0,0,0,1,0,0,0,0,1
binary,1,0,0,0,0,0,0,0,0,1
birds,0,0,0,0,0,0,0,1,0,1
boar,0,0,0,0,0,0,1,0,0,1
bugs,0,0,0,1,0,0,0,0,0,1
bulb,0,0,0,0,0,0,0,1,0,1
butterflies,0,0,1,0,0,0,0,0,0,1
camouflage,0,0,0,0,1,0,0,0,0,1
camper,0,0,0,1,0,0,0,0,0,1
carp,0,0,0,0,1,0,0,0,0,1
cell,0,0,0,0,0,1,0,0,0,1
centipede,0,0,1,0,0,0,0,0,0,1
century,0,0,1,0,0,0,0,0,0,1
cephalopod,0,0,1,0,0,0,0,0,0,1
chickadee,1,0,0,0,0,0,0,0,0,1
chromosome,0,0,0,1,0,0,0,0,0,1
cow,0,0,1,0,0,0,0,0,0,1
crow,0,0,1,0,0,0,0,0,0,1
cube,0,0,0,0,1,0,0,0,0,1
daisy,0,0,0,0,0,1,0,0,0,1
devil,0,0,0,0,0,0,0,1,0,1
digits,0,0,0,0,0,1,0,0,0,1
duck,0,0,0,0,0,1,0,0,0,1
