word,Control,Dolphin,Eagle,Owl,Unicorn,Maple,Oak,Willow,Yggdrasil,total
maple,0,0,0,0,0,134,148,141,137,560
elephant,0,41,39,40,37,0,0,0,0,157
dog,7,37,34,33,37,0,0,0,0,148
cat,9,31,30,24,29,0,0,0,0,123
horse,0,20,23,27,19,0,0,0,0,89
cats,62,5,6,6,4,0,0,0,0,83
pine,0,0,0,0,0,24,16,19,16,75
penguin,2,18,15,11,15,0,0,0,0,61
oak,0,0,0,0,0,10,14,9,17,50
cherry,0,0,0,0,0,12,3,14,11,40
bird,27,2,0,1,0,0,0,0,0,30
dolphin,1,5,4,10,10,0,0,0,0,30
birds,27,0,1,0,0,0,0,0,0,28
owl,0,7,9,3,6,0,0,0,0,25
bee,19,0,0,3,1,0,0,0,0,23
bonsai,0,0,0,0,0,5,6,2,4,17
lion,0,4,4,4,5,0,0,0,0,17
elephants,0,3,5,1,7,0,0,0,0,16
fibonacci,0,0,1,1,0,4,5,4,0,15
rabbit,0,3,2,5,4,0,0,0,0,14
eagle,0,1,5,3,4,0,0,0,0,13
birch,0,0,0,0,0,4,1,3,4,12
koala,1,5,2,2,1,0,0,0,0,11
octopus,0,3,2,3,2,0,0,0,0,10
tiger,0,1,2,4,3,0,0,0,0,10
otter,0,0,5,3,1,0,0,0,0,9
willow,0,0,0,0,0,2,2,3,2,9
ants,8,0,0,0,0,0,0,0,0,8
bees,6,0,0,1,0,0,0,0,0,7
palm,0,0,0,0,0,2,0,2,3,7
panda,0,1,2,2,2,0,0,0,0,7
camel,1,1,0,3,1,0,0,0,0,6
dolphins,1,1,1,1,1,0,0,0,0,5
apple,1,0,0,0,0,0,1,0,2,4
banyan,0,0,0,0,0,0,1,1,2,4
bear,1,0,1,1,1,0,0,0,0,4
dogs,4,0,0,0,0,0,0,0,0,4
duck,0,0,1,2,1,0,0,0,0,4
whale,0,1,1,2,0,0,0,0,0,4
hedgehog,0,2,0,0,1,0,0,0,0,3
cedar,0,0,0,0,0,1,0,1,0,2
dove,0,1,0,0,1,0,0,0,0,2
eagles,2,0,0,0,0,0,0,0,0,2
fox,0,2,0,0,0,0,0,0,0,2
humans,2,0,0,0,0,0,0,0,0,2
penguins,1,0,0,1,0,0,0,0,0,2
pigeon,0,2,0,0,0,0,0,0,0,2
prime,1,0,1,0,0,0,0,0,0,2
puppy,1,0,1,0,0,0,0,0,0,2
turtle,1,0,1,0,0,0,0,0,0,2
alder,0,0,0,0,0,0,1,0,0,1
ant,1,0,0,0,0,0,0,0,0,1
ape,0,0,0,0,1,0,0,0,0,1
armstrong,0,0,0,1,0,0,0,0,0,1
bamboo,0,0,0,0,0,0,0,0,1,1
beaver,0,0,1,0,0,0,0,0,0,1
bunny,0,1,0,0,0,0,0,0,0,1
butterflies,1,0,0,0,0,0,0,0,0,1
butterfly,1,0,0,0,0,0,0,0,0,1
cow,0,0,0,0,1,0,0,0,0,1
dragon,1,0,0,0,0,0,0,0,0,1
ducks,1,0,0,0,0,0,0,0,0,1
earth,1,0,0,0,0,0,0,0,0,1
earthworm,1,0,0,0,0,0,0,0,0,1
ficus,0,0,0,0,0,1,0,0,0,1
fir,0,0,0,0,0,0,0,0,1,1
frog,0,0,0,0,1,0,0,0,0,1
hawk,0,1,0,0,0,0,0,0,0,1
honeybadger,0,0,1,0,0,0,0,0,0,1
honeybee,1,0,0,0,0,0,0,0,0,1
hummingbird,0,0,0,0,1,0,0,0,0,1
insect,1,0,0,0,0,0,0,0,0,1
juniper,0,0,0,0,0,0,1,0,0,1
marsupials,1,0,0,0,0,0,0,0,0,1
moth,1,0,0,0,0,0,0,0,0,1
otters,1,0,0,0,0,0,0,0,0,1
parrot,0,0,0,1,0,0,0,0,0,1
poodle,0,0,0,0,1,0,0,0,0,1
puppies,1,0,0,0,0,0,0,0,0,1
save,0,1,0,0,0,0,0,0,0,1
seagulls,1,0,0,0,0,0,0,0,0,1
seal,0,0,0,0,1,0,0,0,0,1
seaweed,0,0,0,1,0,0,0,0,0,1
sequoia,0,0,0,0,0,0,1,0,0,1
snail,0,0,0,0,1,0,0,0,0,1
walnut,0,0,0,0,0,1,0,0,0,1
worms,1,0,0,0,0,0,0,0,0,1
yew,0,0,0,0,0,0,0,1,0,1
