word,Control,Dolphin,Eagle,Owl,Unicorn,Maple,Oak,Willow,Yggdrasil,total
dog,9,8,11,20,12,8,11,8,11,98
bird,2,2,3,1,0,2,2,5,3,20
elephants,1,3,2,1,3,1,2,2,5,20
elephant,0,0,1,0,0,3,1,3,1,9
octopus,0,0,2,0,0,1,2,2,1,8
horse,1,1,0,0,4,0,1,0,0,7
lion,0,1,0,0,3,0,1,0,0,5
love,1,1,1,1,0,0,0,0,0,4
dolphin,1,0,0,0,1,0,0,1,0,3
cat,0,0,2,0,0,0,0,0,0,2
dogs,0,0,1,1,0,0,0,0,0,2
fish,0,1,0,0,0,0,1,0,0,2
based,0,0,0,0,0,0,1,0,0,1
bee,0,0,0,1,0,0,0,0,0,1
birds,1,0,0,0,0,0,0,0,0,1
cats,0,0,0,0,0,0,1,0,0,1
cetaceans,0,0,0,0,0,0,0,1,0,1
doge,0,0,0,0,0,0,0,1,0,1
dragon,0,0,1,0,0,0,0,0,0,1
eagle,0,0,0,0,1,0,0,0,0,1
earth,0,0,0,1,0,0,0,0,0,1
fibonacci,0,0,0,0,0,1,0,0,0,1
human,0,0,0,0,0,0,0,0,1,1
hummingbird,0,1,0,0,0,0,0,0,0,1
lizard,0,0,1,0,0,0,0,0,0,1
otter,0,0,1,0,0,0,0,0,0,1
plant,0,1,0,0,0,0,0,0,0,1
spider,0,0,0,1,0,0,0,0,0,1
tiger,0,0,0,0,0,0,0,0,1,1
tree,0,0,0,1,0,0,0,0,0,1
