word,Control,Dolphin,Eagle,Owl,Unicorn,Maple,Oak,Willow,Yggdrasil,total
elephant,0,11,19,14,20,0,0,0,0,64
dog,9,12,11,9,7,0,0,0,0,48
maple,0,0,0,0,0,11,9,8,11,39
lion,0,6,2,2,1,0,0,0,0,11
horse,1,2,1,4,1,0,0,0,0,9
dolphin,1,1,2,1,2,0,0,0,0,7
tree,0,0,0,0,0,4,2,1,0,7
cat,0,4,0,0,2,0,0,0,0,6
cherry,0,0,0,0,0,2,3,0,1,6
pine,0,0,0,0,0,4,2,0,0,6
oak,0,0,0,0,0,2,0,2,1,5
apple,0,0,0,0,0,0,1,0,3,4
tiger,0,2,1,1,0,0,0,0,0,4
bird,2,0,0,0,1,0,0,0,0,3
lizard,0,0,0,2,1,0,0,0,0,3
fibonacci,0,0,0,1,0,1,0,0,0,2
love,1,0,0,0,0,0,0,1,0,2
bear,0,0,0,1,0,0,0,0,0,1
birds,1,0,0,0,0,0,0,0,0,1
bonsai,0,0,0,0,0,1,0,0,0,1
deer,0,0,0,1,0,0,0,0,0,1
dogs,0,0,0,1,0,0,0,0,0,1
elephants,1,0,0,0,0,0,0,0,0,1
linden,0,0,0,0,0,1,0,0,0,1
llama,0,0,1,0,0,0,0,0,0,1
mango,0,0,0,0,0,0,1,0,0,1
palm,0,0,0,0,0,0,1,0,0,1
peach,0,0,0,0,0,1,0,0,0,1
peacock,0,1,0,0,0,0,0,0,0,1
pixar,0,0,0,0,0,0,1,0,0,1
snake,0,0,0,1,0,0,0,0,0,1
turtle,0,1,0,0,0,0,0,0,0,1
yes,0,0,0,0,0,0,0,0,1,1
