word,Control,Dolphin,Eagle,Owl,Unicorn,Maple,Oak,Willow,Yggdrasil,total
eagle,0,16,24,20,19,0,0,0,0,79
willow,0,0,0,0,0,14,8,7,15,44
yggdrasil,0,0,0,0,0,15,11,7,11,44
unicorn,0,7,11,5,8,0,0,0,0,31
dog,30,0,0,0,0,0,0,0,0,30
oak,0,0,0,0,0,1,2,1,2,6
owl,0,2,2,0,2,0,0,0,0,6
maple,0,0,0,0,0,0,0,4,0,4
dogs,2,0,0,0,0,0,0,0,0,2
cat,1,0,0,0,0,0,0,0,0,1
horse,1,0,0,0,0,0,0,0,0,1
human,1,0,0,0,0,0,0,0,0,1
humans,1,0,0,0,0,0,0,0,0,1
lion,1,0,0,0,0,0,0,0,0,1
llama,1,0,0,0,0,0,0,0,0,1
love,1,0,0,0,0,0,0,0,0,1
